Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
                0.00    0.00       3/9           JahControl::raiseModule(Module) [193]
                0.00    0.00       3/9           QValueListPrivate<int>::QValueListPrivate(QValueListPrivate<int> const&) [243]
                0.00    0.00       3/9           JahControl::createJahUI(QFrame*, QFrame*, QFrame*, QFrame*, QFrame*, QFrame*, QFrame*, QFrame*, QFrame*, QFrame*) [192]
[136]    0.0    0.00    0.00       9         QValueListPrivate<int>::insert(QValueListIterator<int>, int const&) [136]
-----------------------------------------------
                0.00    0.00       1/4           JahControl::createCol1(QWidget*) [187]
                0.00    0.00       3/4           JahControl::CreateDesktopMiddleFrame(QHBox*) [229]
[137]    0.0    0.00    0.00       4         JahControl::tr(char const*, char const*) [137]
-----------------------------------------------
                0.00    0.00       2/4           JahControl::raiseModule(Module) [193]
                0.00    0.00       2/4           JahControl::createJahUI(QFrame*, QFrame*, QFrame*, QFrame*, QFrame*, QFrame*, QFrame*, QFrame*, QFrame*, QFrame*) [192]
[138]    0.0    0.00    0.00       4         QValueListPrivate<int>::~QValueListPrivate() [138]
-----------------------------------------------
                0.00    0.00       1/2           JahControl::buildDropDownMenus(QMenuBar*) [212]
                0.00    0.00       1/2           JahControl::raiseModule(Module) [193]
[139]    0.0    0.00    0.00       2         JahControl::raiseMenu(Module) [139]
-----------------------------------------------
                0.00    0.00       1/2           JahControl::raiseModule(Module) [193]
                0.00    0.00       1/2           JahControl::createJahUI(QFrame*, QFrame*, QFrame*, QFrame*, QFrame*, QFrame*, QFrame*, QFrame*, QFrame*, QFrame*) [192]
[140]    0.0    0.00    0.00       2         QValueListPrivate<int>::QValueListPrivate() [140]
-----------------------------------------------
                0.00    0.00       2/2           Jahshaka::qt_invoke(int, QUObject*) [6354]
[141]    0.0    0.00    0.00       2         Jahshaka::JahaddProgressSteps(int) [141]
-----------------------------------------------
                0.00    0.00       2/2           Jahshaka::languageChange() [246]
[142]    0.0    0.00    0.00       2         Jahshaka::tr(char const*, char const*) [142]
-----------------------------------------------
                0.00    0.00       1/1           __do_global_ctors_aux [8248]
[143]    0.0    0.00    0.00       1         global constructors keyed to _Z4todov [143]
                0.00    0.00       1/1           __static_initialization_and_destruction_0(int, int) [165]
-----------------------------------------------
                0.00    0.00       1/1           __do_global_ctors_aux [8248]
[144]    0.0    0.00    0.00       1         global constructors keyed to _ZN10JahControl24CreateDesktopFeedbackBoxEP7QWidget [144]
                0.00    0.00       1/1           __static_initialization_and_destruction_0(int, int) [176]
-----------------------------------------------
                0.00    0.00       1/1           __do_global_ctors_aux [8248]
[145]    0.0    0.00    0.00       1         global constructors keyed to _ZN10JahControlC2EP9QGLWidgetP7QWidgetP9JahHeaderP6QFrameS7_S7_S7_S7_S7_S7_S3_S7_S7_S7_S7_S7_S7_S7_ [145]
                0.00    0.00       1/1           __static_initialization_and_destruction_0(int, int) [175]
-----------------------------------------------
                0.00    0.00       1/1           __do_global_ctors_aux [8248]
[146]    0.0    0.00    0.00       1         global constructors keyed to _ZN10MainPlayerC2EPK9QGLWidgetP7QWidgetPKcP5QHBoxS8_S8_S8_S8_ [146]
                0.00    0.00       1/1           __static_initialization_and_destruction_0(int, int) [169]
-----------------------------------------------
                0.00    0.00       1/1           __do_global_ctors_aux [8248]
[147]    0.0    0.00    0.00       1         global constructors keyed to _ZN11MainEncoder6fpsValE [147]
                0.00    0.00       1/1           __static_initialization_and_destruction_0(int, int) [167]
-----------------------------------------------
                0.00    0.00       1/1           __do_global_ctors_aux [8248]
[148]    0.0    0.00    0.00       1         global constructors keyed to _ZN4olib12openassetlib25SET_XML_ROOT_ELEMENT_NAMEE [148]
                0.00    0.00       1/1           __static_initialization_and_destruction_0(int, int) [179]
-----------------------------------------------
                0.00    0.00       1/1           __do_global_ctors_aux [8248]
[149]    0.0    0.00    0.00       1         global constructors keyed to _ZN4olib12openassetlib2al13asset_factory9instance_E [149]
                0.00    0.00       1/1           __static_initialization_and_destruction_0(int, int) [180]
-----------------------------------------------
                0.00    0.00       1/1           __do_global_ctors_aux [8248]
[150]    0.0    0.00    0.00       1         global constructors keyed to _ZN4olib12openmedialib2ml14template_inputC2Ev [150]
                0.00    0.00       1/1           __static_initialization_and_destruction_0(int, int) [184]
-----------------------------------------------
                0.00    0.00       1/1           __do_global_ctors_aux [8248]
[151]    0.0    0.00    0.00       1         global constructors keyed to _ZN4olib12openmedialib2ml19openmedialib_pluginC2Ev [151]
                0.00    0.00       1/1           __static_initialization_and_destruction_0(int, int) [183]
-----------------------------------------------
                0.00    0.00       1/1           __do_global_ctors_aux [8248]
[152]    0.0    0.00    0.00       1         global constructors keyed to _ZN4olib12openmedialib2ml1yE [152]
                0.00    0.00       1/1           __static_initialization_and_destruction_0(int, int) [181]
-----------------------------------------------
                0.00    0.00       1/1           __do_global_ctors_aux [8248]
[153]    0.0    0.00    0.00       1         global constructors keyed to _ZN4olib12openmedialib2ml20create_delayed_inputERKSbIwSt11char_traitsIwESaIwEE [153]
                0.00    0.00       1/1           __static_initialization_and_destruction_0(int, int) [185]
-----------------------------------------------
                0.00    0.00       1/1           __do_global_ctors_aux [8248]
